"","BR-A-Control_counts.txt","BR-A-Mutant_counts.txt","BR-B-Control_counts.txt","BR-B-Mutant_counts.txt","BR-C-Control_counts.txt","BR-C-Mutant_counts.txt"
"ENSMUSG00000022887",133,150,109,123,83,155
"ENSMUSG00000022889",171,201,167,243,192,185
"ENSMUSG00000022890",380,438,342,454,392,395
"ENSMUSG00000022892",2317,2550,2375,2587,2289,2404
"ENSMUSG00000022893",92,73,99,65,96,75
"ENSMUSG00000022894",182,245,179,253,96,230
"ENSMUSG00000022895",192,206,148,216,198,201
"ENSMUSG00000022897",1567,1629,1542,1729,1530,1475
"ENSMUSG00000022898",312,303,290,322,286,302
"ENSMUSG00000022899",73,186,84,2,19,102
"ENSMUSG00000022900",0,3,0,1,0,0
"ENSMUSG00000022901",0,0,0,0,0,0
"ENSMUSG00000022902",0,0,0,0,0,0
"ENSMUSG00000022905",1474,1561,1504,1544,1537,1465
"ENSMUSG00000022906",0,0,3,0,1,1
"ENSMUSG00000022911",198,244,207,240,249,209
"ENSMUSG00000022912",7,6,7,2,6,10
"ENSMUSG00000022913",138,144,157,169,110,147
"ENSMUSG00000022914",3361,3599,3477,3607,3328,3327
"ENSMUSG00000022915",13,14,15,11,14,19
"ENSMUSG00000022931",0,1,0,0,1,0
"ENSMUSG00000022935",81,105,110,60,67,109
"ENSMUSG00000022938",0,0,0,0,0,0
"ENSMUSG00000022940",46,42,59,43,61,53
"ENSMUSG00000022941",0,1,0,0,0,1
"ENSMUSG00000022945",63,87,51,85,76,67
"ENSMUSG00000022946",698,815,723,865,642,848
"ENSMUSG00000022947",0,0,1,0,0,0
"ENSMUSG00000022948",89,84,57,91,68,62
"ENSMUSG00000022949",0,0,0,1,1,0
"ENSMUSG00000022951",473,486,470,515,406,441
"ENSMUSG00000022952",25,73,62,79,30,78
"ENSMUSG00000022956",157,146,141,157,137,177
"ENSMUSG00000022957",3282,3206,3011,3350,2877,3037
"ENSMUSG00000022960",220,249,250,192,223,247
"ENSMUSG00000022961",5696,6339,5891,6333,6193,5913
"ENSMUSG00000022962",160,151,174,157,151,161
"ENSMUSG00000022964",643,617,606,623,572,567
"ENSMUSG00000022965",228,295,256,282,271,288
"ENSMUSG00000022967",819,918,755,897,773,861
"ENSMUSG00000022969",3,4,2,3,2,6
"ENSMUSG00000022971",73,114,73,107,101,91
"ENSMUSG00000022972",116,156,163,195,135,117
"ENSMUSG00000022973",2393,2509,2464,2591,2247,2440
"ENSMUSG00000022974",1110,1221,1261,1143,1177,1200
"ENSMUSG00000022978",43,34,26,42,39,34
"ENSMUSG00000022982",165,172,128,195,132,170
"ENSMUSG00000022983",838,906,963,946,835,886
"ENSMUSG00000022986",1,0,1,0,0,0
"ENSMUSG00000022987",235,324,270,286,230,302
"ENSMUSG00000022991",0,0,0,0,0,0
"ENSMUSG00000022992",93,79,69,91,90,94
"ENSMUSG00000022993",0,5,9,6,6,2
"ENSMUSG00000022994",371,446,461,561,432,408
"ENSMUSG00000022995",1980,1968,2067,2067,1949,1995
"ENSMUSG00000022996",1,0,0,3,0,0
"ENSMUSG00000022997",0,2,2,0,0,1
"ENSMUSG00000022999",284,312,267,328,294,304
"ENSMUSG00000023000",0,1,2,3,3,2
"ENSMUSG00000023004",92,93,90,97,87,90
"ENSMUSG00000023007",416,524,389,529,396,487
"ENSMUSG00000023008",103,107,124,119,107,132
"ENSMUSG00000023009",156,177,148,166,175,194
"ENSMUSG00000023010",666,673,560,781,654,720
"ENSMUSG00000023011",83,56,69,67,60,80
"ENSMUSG00000023013",0,0,0,0,0,0
"ENSMUSG00000023015",246,276,216,304,214,242
"ENSMUSG00000023017",895,867,894,986,770,921
"ENSMUSG00000023018",1099,1115,747,1334,1133,1179
"ENSMUSG00000023019",71,43,63,56,74,53
"ENSMUSG00000023020",116,106,91,151,106,117
"ENSMUSG00000023021",531,524,546,567,521,590
"ENSMUSG00000023022",279,252,256,279,199,252
"ENSMUSG00000023025",337,311,338,333,401,325
"ENSMUSG00000023026",3241,3047,3321,3390,3099,3344
"ENSMUSG00000023027",100,82,85,95,113,87
"ENSMUSG00000023030",684,816,786,822,735,727
"ENSMUSG00000023031",0,0,1,0,1,3
"ENSMUSG00000023032",1651,1597,1579,1806,1543,1693
"ENSMUSG00000023033",1016,1044,1089,978,979,991
"ENSMUSG00000023034",40,37,37,39,39,35
"ENSMUSG00000023036",4235,4214,3798,4655,3990,4422
"ENSMUSG00000023039",0,0,0,0,0,0
"ENSMUSG00000023041",0,0,0,0,0,0
"ENSMUSG00000023043",0,0,0,0,0,0
"ENSMUSG00000023044",73,74,79,90,57,97
"ENSMUSG00000023045",0,0,1,0,0,0
"ENSMUSG00000023046",0,1,1,0,0,0
"ENSMUSG00000023047",4,4,6,5,4,6
"ENSMUSG00000023048",166,148,105,189,126,126
"ENSMUSG00000023050",771,784,791,918,876,774
"ENSMUSG00000023051",67,81,52,63,51,64
"ENSMUSG00000023052",4,9,1,2,2,8
"ENSMUSG00000023055",304,367,332,384,370,301
"ENSMUSG00000023057",1,0,0,0,0,0
"ENSMUSG00000023064",216,116,287,155,220,130
"ENSMUSG00000023066",238,284,240,253,242,282
"ENSMUSG00000023067",92,160,82,218,92,215
"ENSMUSG00000023068",1088,1080,1097,1019,950,1006
"ENSMUSG00000023070",1,0,4,1,1,3
"ENSMUSG00000023072",95,94,97,94,89,111
"ENSMUSG00000023073",0,0,0,0,0,0
"ENSMUSG00000023074",44,53,56,50,59,52
"ENSMUSG00000023075",101,89,91,125,107,82
"ENSMUSG00000023078",0,0,0,0,0,0
"ENSMUSG00000023079",219,203,183,199,224,204
"ENSMUSG00000023083",7,3,7,8,3,5
"ENSMUSG00000023084",17,9,15,8,21,7
"ENSMUSG00000023087",367,327,370,423,356,358
"ENSMUSG00000023088",354,399,379,365,346,380
"ENSMUSG00000023089",129,121,110,130,89,114
"ENSMUSG00000023092",1163,1159,1013,1222,1012,1155
"ENSMUSG00000023093",0,0,0,0,0,0
"ENSMUSG00000023094",19,21,22,31,17,17
"ENSMUSG00000023104",160,227,106,194,149,185
"ENSMUSG00000023106",253,323,278,298,255,260
"ENSMUSG00000023110",537,606,490,655,515,560
"ENSMUSG00000023118",528,471,332,526,406,421
"ENSMUSG00000023120",0,1,0,0,0,1
"ENSMUSG00000023122",0,0,0,0,0,0
"ENSMUSG00000023132",0,0,0,0,0,0
"ENSMUSG00000023140",0,0,0,0,0,0
"ENSMUSG00000023143",52,46,52,51,51,51
"ENSMUSG00000023147",931,1000,844,1000,819,914
"ENSMUSG00000023150",2849,2990,2709,2937,2887,2812
"ENSMUSG00000023151",0,0,1,1,0,0
"ENSMUSG00000023153",0,0,0,0,0,0
"ENSMUSG00000023156",189,221,231,271,185,192
"ENSMUSG00000023159",0,0,2,0,0,1
"ENSMUSG00000023165",0,0,0,0,0,0
"ENSMUSG00000023169",4511,4620,3911,4626,4116,4315
"ENSMUSG00000023170",131,137,109,173,140,139
"ENSMUSG00000023175",540,613,542,684,526,567
"ENSMUSG00000023176",0,0,0,1,0,0
"ENSMUSG00000023185",0,0,0,0,0,0
"ENSMUSG00000023186",3,8,2,3,3,4
"ENSMUSG00000023191",105,142,128,133,131,131
"ENSMUSG00000023192",28,42,23,38,24,43
"ENSMUSG00000023206",6,10,7,11,9,9
"ENSMUSG00000023210",0,0,0,0,0,0
"ENSMUSG00000023216",4,2,2,2,7,1
"ENSMUSG00000023224",135,132,136,108,150,114
"ENSMUSG00000023232",188,182,177,227,193,209
"ENSMUSG00000023235",53,69,58,68,40,53
"ENSMUSG00000023236",505,552,510,639,553,492
"ENSMUSG00000023243",3,7,4,0,2,0
"ENSMUSG00000023247",1,4,1,0,3,0
"ENSMUSG00000023249",0,1,0,1,1,1
"ENSMUSG00000023257",0,0,0,0,0,0
"ENSMUSG00000023259",27,41,31,25,24,25
"ENSMUSG00000023262",31,45,26,34,27,38
"ENSMUSG00000023263",1,0,0,0,0,0
"ENSMUSG00000023266",106,111,66,107,73,76
"ENSMUSG00000023267",6,5,5,10,11,9
"ENSMUSG00000023272",180,160,174,159,158,140
"ENSMUSG00000023274",5,7,0,0,2,7
"ENSMUSG00000023277",62,55,70,68,57,74
"ENSMUSG00000023279",0,0,0,1,0,0
"ENSMUSG00000023284",393,584,446,528,460,497
"ENSMUSG00000023286",129,130,116,160,145,137
"ENSMUSG00000023289",0,0,1,0,0,0
"ENSMUSG00000023307",297,350,312,337,336,317
"ENSMUSG00000023328",126,128,104,111,86,124
"ENSMUSG00000023330",32,41,37,48,35,32
"ENSMUSG00000023333",1,0,0,0,0,0
"ENSMUSG00000023336",1,0,0,0,0,0
"ENSMUSG00000023341",0,0,0,0,1,0
"ENSMUSG00000023345",18,16,24,29,23,23
"ENSMUSG00000023348",37,35,41,52,41,49
"ENSMUSG00000023349",0,0,0,0,0,0
"ENSMUSG00000023350",0,0,1,0,1,0
"ENSMUSG00000023353",351,394,339,431,387,353
"ENSMUSG00000023367",12,11,17,19,12,12
"ENSMUSG00000023387",0,0,0,0,0,0
"ENSMUSG00000023391",1,1,2,4,4,3
"ENSMUSG00000023393",3,5,3,1,2,7
"ENSMUSG00000023403",0,0,4,0,0,2
"ENSMUSG00000023411",8,4,8,8,6,9
"ENSMUSG00000023433",0,0,0,0,0,0
"ENSMUSG00000023439",2,5,5,5,8,8
"ENSMUSG00000023443",1,0,0,0,0,0
"ENSMUSG00000023452",123,107,114,153,115,109
"ENSMUSG00000023456",49,81,54,75,51,76
"ENSMUSG00000023460",481,552,525,557,498,472
"ENSMUSG00000023461",0,0,0,0,0,0
"ENSMUSG00000023467",7,14,8,5,4,8
"ENSMUSG00000023473",3270,3348,2740,3856,3435,3466
"ENSMUSG00000023484",295,281,454,245,428,241
"ENSMUSG00000023495",501,460,315,586,433,478
"ENSMUSG00000023505",30,40,27,24,19,22
"ENSMUSG00000023571",17,17,27,18,31,18
"ENSMUSG00000023572",518,627,582,627,675,579
"ENSMUSG00000023577",0,0,0,0,0,0
"ENSMUSG00000023707",102,98,114,112,104,103
"ENSMUSG00000023723",172,164,135,204,179,146
"ENSMUSG00000023737",0,2,2,2,1,2
"ENSMUSG00000023755",143,149,121,172,134,136
"ENSMUSG00000023764",486,378,425,455,440,432
"ENSMUSG00000023781",0,0,0,1,0,0
"ENSMUSG00000023791",185,234,203,248,206,191
"ENSMUSG00000023795",33,27,25,30,30,18
"ENSMUSG00000023800",41,27,32,29,40,31
"ENSMUSG00000023802",0,0,0,0,0,0
"ENSMUSG00000023805",21,27,24,33,40,32
"ENSMUSG00000023806",2,1,0,1,2,2
"ENSMUSG00000023809",217,239,174,222,164,201
"ENSMUSG00000023826",22,32,23,27,28,38
"ENSMUSG00000023827",196,231,177,203,204,218
"ENSMUSG00000023828",1,0,2,0,0,0
"ENSMUSG00000023829",3,3,0,0,1,0
"ENSMUSG00000023830",827,943,928,933,857,839
"ENSMUSG00000023832",640,708,631,765,588,634
"ENSMUSG00000023845",1033,990,887,961,1015,976
"ENSMUSG00000023846",324,438,344,410,369,358
"ENSMUSG00000023852",1245,1302,1361,1308,1305,1199
"ENSMUSG00000023861",15,20,14,15,13,19
"ENSMUSG00000023868",1095,1150,1041,1196,1173,1127
"ENSMUSG00000023873",24,24,14,22,12,8
"ENSMUSG00000023882",33,39,36,16,30,30
"ENSMUSG00000023883",576,647,621,586,579,590
"ENSMUSG00000023885",2,4,2,2,1,4
"ENSMUSG00000023886",0,3,1,0,1,0
"ENSMUSG00000023892",84,93,79,87,100,92
"ENSMUSG00000023902",0,0,1,0,0,0
"ENSMUSG00000023903",0,2,1,2,1,2
"ENSMUSG00000023904",100,100,60,93,60,99
"ENSMUSG00000023905",8,6,10,9,9,13
"ENSMUSG00000023906",5,0,1,0,0,1
"ENSMUSG00000023908",15,21,21,24,28,28
"ENSMUSG00000023909",197,221,161,266,176,219
"ENSMUSG00000023911",68,87,46,72,52,63
"ENSMUSG00000023912",1059,1113,956,1073,1066,1085
"ENSMUSG00000023913",22,12,6,14,11,10
"ENSMUSG00000023914",0,0,2,0,0,3
"ENSMUSG00000023915",1197,1257,1220,1360,1340,1205
"ENSMUSG00000023918",12,14,14,30,16,16
"ENSMUSG00000023919",45,50,44,40,37,39
"ENSMUSG00000023921",268,335,275,257,283,268
"ENSMUSG00000023923",276,241,264,268,209,263
"ENSMUSG00000023926",0,0,3,1,0,0
"ENSMUSG00000023927",1071,1032,978,1052,804,987
"ENSMUSG00000023930",0,0,0,0,0,0
"ENSMUSG00000023931",7,2,7,1,0,1
"ENSMUSG00000023932",135,156,112,125,131,129
"ENSMUSG00000023935",15,22,20,20,8,13
"ENSMUSG00000023938",79,79,72,74,64,57
"ENSMUSG00000023939",64,62,50,66,57,60
"ENSMUSG00000023940",21,28,20,11,26,17
"ENSMUSG00000023942",11,7,8,14,7,11
"ENSMUSG00000023943",0,0,0,0,0,0
"ENSMUSG00000023944",2681,2737,2558,2868,2665,2753
"ENSMUSG00000023945",428,330,623,365,580,460
"ENSMUSG00000023947",26,45,28,49,42,31
"ENSMUSG00000023949",230,236,182,288,263,249
"ENSMUSG00000023951",475,754,411,519,466,484
"ENSMUSG00000023952",373,438,443,477,433,389
"ENSMUSG00000023953",88,111,83,126,87,105
"ENSMUSG00000023959",3,1,0,0,2,2
"ENSMUSG00000023960",1207,1441,1230,1344,1079,1172
"ENSMUSG00000023961",178,175,194,244,156,196
"ENSMUSG00000023963",19,15,8,13,3,15
"ENSMUSG00000023964",1,4,0,6,3,2
"ENSMUSG00000023965",741,862,783,745,776,771
"ENSMUSG00000023966",25,18,32,25,29,25
"ENSMUSG00000023967",133,176,119,194,147,154
"ENSMUSG00000023968",24,14,25,13,16,27
"ENSMUSG00000023971",47,69,52,58,47,55
"ENSMUSG00000023972",172,173,157,169,164,170
"ENSMUSG00000023973",137,165,98,147,134,149
"ENSMUSG00000023977",1172,1193,1090,1328,1108,1206
"ENSMUSG00000023978",3,4,0,0,3,0
"ENSMUSG00000023979",0,4,3,5,0,2
"ENSMUSG00000023980",87,83,86,116,99,101
"ENSMUSG00000023982",0,1,0,0,0,0
"ENSMUSG00000023984",88,82,111,80,72,112
"ENSMUSG00000023987",0,0,0,0,0,0
"ENSMUSG00000023988",254,289,257,280,198,275
"ENSMUSG00000023990",16,4,7,11,7,10
"ENSMUSG00000023991",1094,1207,1011,1399,912,1211
"ENSMUSG00000023992",2,1,0,0,1,0
"ENSMUSG00000023993",0,0,0,0,0,1
"ENSMUSG00000023994",954,849,902,921,892,904
"ENSMUSG00000023995",0,0,0,0,0,0
"ENSMUSG00000023999",15,12,13,14,11,11
"ENSMUSG00000024002",2472,2457,2459,2838,2537,2511
"ENSMUSG00000024006",1194,1250,1213,1327,1092,1218
"ENSMUSG00000024007",95,126,91,162,109,131
"ENSMUSG00000024008",57,109,59,162,61,158
"ENSMUSG00000024011",11,11,6,17,3,8
"ENSMUSG00000024012",657,758,604,822,605,702
"ENSMUSG00000024013",3,2,3,1,2,0
"ENSMUSG00000024014",12,13,10,17,13,18
"ENSMUSG00000024018",102,111,86,115,105,109
"ENSMUSG00000024019",105,88,94,104,68,88
"ENSMUSG00000024026",85,132,87,113,88,97
"ENSMUSG00000024027",0,1,1,0,1,0
"ENSMUSG00000024028",0,0,0,0,0,1
"ENSMUSG00000024029",1,0,0,0,0,0
"ENSMUSG00000024030",242,278,138,391,258,228
"ENSMUSG00000024032",0,0,0,0,0,0
"ENSMUSG00000024033",2,4,1,3,1,0
"ENSMUSG00000024034",0,0,1,0,0,0
"ENSMUSG00000024036",92,114,79,102,109,98
"ENSMUSG00000024037",152,207,191,243,204,225
"ENSMUSG00000024038",201,193,172,244,175,212
"ENSMUSG00000024039",9,7,2,4,12,2
"ENSMUSG00000024041",0,0,0,0,0,0
"ENSMUSG00000024042",484,433,402,436,414,413
"ENSMUSG00000024043",93,135,106,112,164,121
"ENSMUSG00000024044",489,546,670,630,528,565
"ENSMUSG00000024045",1475,1618,1593,1709,1547,1422
"ENSMUSG00000024048",58,66,52,102,73,98
"ENSMUSG00000024049",13,5,13,9,6,10
"ENSMUSG00000024050",890,806,819,919,851,914
"ENSMUSG00000024052",971,1025,978,960,850,994
"ENSMUSG00000024053",2,8,4,18,7,16
"ENSMUSG00000024054",1104,1158,1183,1089,1129,1166
"ENSMUSG00000024055",7,12,11,10,4,11
"ENSMUSG00000024056",5,9,5,2,3,5
"ENSMUSG00000024059",173,197,196,132,156,162
"ENSMUSG00000024063",1383,1515,1094,1557,1646,1488
"ENSMUSG00000024064",117,78,91,51,56,100
"ENSMUSG00000024065",213,233,213,224,193,221
"ENSMUSG00000024066",1,0,2,1,1,2
"ENSMUSG00000024067",243,284,218,283,238,237
"ENSMUSG00000024068",2775,3051,2974,2863,2940,2754
"ENSMUSG00000024069",121,121,93,119,124,116
"ENSMUSG00000024070",516,470,492,527,523,444
"ENSMUSG00000024072",110,113,96,93,76,116
"ENSMUSG00000024073",4391,4351,4182,4382,4093,4353
"ENSMUSG00000024074",815,883,996,912,803,846
"ENSMUSG00000024076",22,17,24,14,14,10
"ENSMUSG00000024077",1078,1092,1069,1034,968,1010
"ENSMUSG00000024078",146,203,169,178,149,167
"ENSMUSG00000024079",19,40,54,35,33,25
"ENSMUSG00000024081",527,622,551,638,562,568
"ENSMUSG00000024082",191,165,183,203,175,201
"ENSMUSG00000024083",2328,2440,2148,2390,2260,2259
"ENSMUSG00000024084",19,28,27,21,10,28
"ENSMUSG00000024085",263,270,310,272,318,281
"ENSMUSG00000024087",4,2,0,3,4,2
"ENSMUSG00000024088",0,0,0,0,0,0
"ENSMUSG00000024091",855,842,644,841,831,741
"ENSMUSG00000024095",1013,1159,1163,1132,1174,1025
"ENSMUSG00000024096",434,445,362,413,376,409
"ENSMUSG00000024097",1261,1325,1122,1254,1248,1188
"ENSMUSG00000024098",737,816,724,811,811,707
"ENSMUSG00000024099",287,293,218,304,273,261
"ENSMUSG00000024101",134,113,115,179,91,130
"ENSMUSG00000024104",673,725,654,754,629,713
"ENSMUSG00000024105",1,0,0,0,0,0
"ENSMUSG00000024107",0,2,1,0,4,0
"ENSMUSG00000024109",2746,3146,3083,2439,2358,2976
"ENSMUSG00000024112",1112,1202,932,1313,1161,1185
"ENSMUSG00000024114",20,20,20,12,10,10
"ENSMUSG00000024116",0,0,0,2,0,0
"ENSMUSG00000024118",153,132,91,174,144,131
"ENSMUSG00000024120",711,781,772,815,742,813
"ENSMUSG00000024121",103,97,69,86,96,84
"ENSMUSG00000024122",2457,2408,2364,2627,2467,2472
"ENSMUSG00000024124",0,0,0,0,0,0
"ENSMUSG00000024125",0,0,0,0,0,0
"ENSMUSG00000024127",1464,1446,1351,1487,1289,1398
"ENSMUSG00000024128",0,0,0,0,0,0
"ENSMUSG00000024130",883,852,750,958,840,1000
"ENSMUSG00000024131",13,11,15,12,12,10
"ENSMUSG00000024132",34,32,20,27,32,39
"ENSMUSG00000024134",0,0,0,0,0,0
"ENSMUSG00000024135",253,286,244,277,273,262
"ENSMUSG00000024136",95,65,61,83,58,77
"ENSMUSG00000024137",113,144,101,88,116,98
"ENSMUSG00000024140",16,23,11,15,9,42
"ENSMUSG00000024142",130,158,85,151,132,134
"ENSMUSG00000024143",161,141,173,157,178,164
"ENSMUSG00000024145",40,41,40,47,39,44
"ENSMUSG00000024146",514,596,500,573,558,498
"ENSMUSG00000024150",155,160,159,171,162,150
"ENSMUSG00000024151",581,678,552,702,611,648
"ENSMUSG00000024154",0,0,0,1,0,0
"ENSMUSG00000024155",0,2,0,1,2,1
"ENSMUSG00000024158",51,54,52,82,42,62
"ENSMUSG00000024160",43,52,30,25,23,27
"ENSMUSG00000024163",1408,1521,1313,1517,1370,1435
"ENSMUSG00000024164",12,22,17,10,17,18
"ENSMUSG00000024165",167,134,137,178,191,149
"ENSMUSG00000024168",0,6,7,3,3,8
"ENSMUSG00000024169",268,265,306,316,260,263
"ENSMUSG00000024170",183,184,170,187,145,169
"ENSMUSG00000024171",0,0,0,0,0,0
"ENSMUSG00000024172",956,1075,955,943,915,1041
"ENSMUSG00000024173",0,0,0,0,0,0
"ENSMUSG00000024174",143,153,141,162,127,150
"ENSMUSG00000024175",0,0,1,1,1,0
"ENSMUSG00000024176",14,19,11,17,5,4
"ENSMUSG00000024177",30,35,35,34,21,44
"ENSMUSG00000024180",72,57,69,74,62,79
"ENSMUSG00000024181",133,115,86,147,109,131
"ENSMUSG00000024182",251,258,233,291,275,239
"ENSMUSG00000024184",2,1,0,0,4,2
"ENSMUSG00000024186",45,34,52,39,39,36
"ENSMUSG00000024187",74,56,55,88,55,65
"ENSMUSG00000024188",1799,2084,1862,2029,1866,1881
"ENSMUSG00000024190",701,706,635,738,837,704
"ENSMUSG00000024191",151,189,106,204,162,157
"ENSMUSG00000024193",128,142,89,148,116,135
"ENSMUSG00000024194",178,190,152,258,205,194
"ENSMUSG00000024197",2,3,7,7,6,5
"ENSMUSG00000024201",370,387,299,423,343,386
"ENSMUSG00000024205",2,1,2,4,0,2
"ENSMUSG00000024206",17,23,4,15,11,12
"ENSMUSG00000024207",0,0,1,0,0,0
"ENSMUSG00000024208",50,51,31,50,44,35
"ENSMUSG00000024209",35,29,21,25,25,32
"ENSMUSG00000024210",0,1,0,1,0,0
"ENSMUSG00000024211",49,84,56,44,43,64
"ENSMUSG00000024212",564,536,385,650,484,564
"ENSMUSG00000024213",1246,1294,1078,1462,1147,1264
"ENSMUSG00000024215",7,3,5,4,2,8
"ENSMUSG00000024217",95,103,82,121,71,69
"ENSMUSG00000024218",247,284,272,336,303,253
"ENSMUSG00000024219",639,696,609,815,569,649
"ENSMUSG00000024220",295,321,277,361,354,315
"ENSMUSG00000024222",390,410,325,420,351,384
"ENSMUSG00000024223",0,0,0,0,0,0
"ENSMUSG00000024224",0,0,0,0,0,0
"ENSMUSG00000024225",0,0,0,0,0,0
"ENSMUSG00000024227",0,0,0,0,0,0
"ENSMUSG00000024228",43,27,28,33,21,25
"ENSMUSG00000024231",600,678,578,700,574,625
"ENSMUSG00000024232",43,67,68,58,52,58
"ENSMUSG00000024233",0,0,0,0,0,0
"ENSMUSG00000024234",419,459,393,429,444,385
"ENSMUSG00000024235",1,1,1,0,2,1
"ENSMUSG00000024236",74,44,65,38,58,55
"ENSMUSG00000024238",0,0,0,0,0,0
"ENSMUSG00000024240",1962,2127,1881,2177,2094,1866
"ENSMUSG00000024241",1908,1790,1915,1800,1805,1867
"ENSMUSG00000024242",1205,1250,1357,1234,1121,1136
"ENSMUSG00000024245",472,475,393,503,443,443
"ENSMUSG00000024246",61,58,47,66,52,55
"ENSMUSG00000024247",28,19,36,40,27,34
"ENSMUSG00000024248",50,36,45,57,37,47
"ENSMUSG00000024251",613,574,582,602,574,703
"ENSMUSG00000024253",40,64,34,57,49,44
"ENSMUSG00000024254",2,4,0,4,8,2
"ENSMUSG00000024256",132,173,112,113,107,158
"ENSMUSG00000024258",236,231,255,290,236,225
"ENSMUSG00000024259",1014,1193,1255,1079,1126,1112
"ENSMUSG00000024260",933,921,803,946,779,897
"ENSMUSG00000024261",1590,1646,1719,1245,1268,1308
"ENSMUSG00000024266",0,0,0,0,0,0
"ENSMUSG00000024268",3125,3397,2928,3357,2940,3202
"ENSMUSG00000024269",875,807,738,856,733,845
"ENSMUSG00000024270",1728,1993,1729,1913,1610,1802
"ENSMUSG00000024271",556,588,558,611,575,569
"ENSMUSG00000024273",36,43,29,44,39,38
"ENSMUSG00000024274",91,96,77,110,101,93
"ENSMUSG00000024276",1457,1528,1601,1499,1621,1442
"ENSMUSG00000024277",3900,3896,3718,4024,3777,3846
"ENSMUSG00000024283",1092,1119,1186,1129,1165,1039
"ENSMUSG00000024286",960,971,841,1004,1045,943
"ENSMUSG00000024287",525,637,605,618,564,574
"ENSMUSG00000024290",989,905,920,897,966,857
"ENSMUSG00000024292",0,0,0,0,1,0
"ENSMUSG00000024293",424,451,428,443,473,384
"ENSMUSG00000024294",2930,3028,2741,3068,3028,2806
"ENSMUSG00000024295",5,5,7,8,6,9
"ENSMUSG00000024298",2314,2184,2342,2242,2277,2119
"ENSMUSG00000024299",508,548,520,491,466,485
"ENSMUSG00000024300",1,1,0,0,0,0
"ENSMUSG00000024301",1,2,3,2,3,2
"ENSMUSG00000024302",593,677,679,752,776,666
"ENSMUSG00000024304",2098,2237,2160,2207,2164,2224
"ENSMUSG00000024306",2,2,1,1,1,3
"ENSMUSG00000024308",71,69,49,87,65,86
"ENSMUSG00000024309",90,109,72,127,88,95
"ENSMUSG00000024312",128,132,107,118,112,108
"ENSMUSG00000024313",0,0,2,1,0,1
"ENSMUSG00000024317",201,214,185,216,242,194
"ENSMUSG00000024319",213,280,197,303,239,262
"ENSMUSG00000024325",147,197,156,171,167,188
"ENSMUSG00000024327",22,16,9,26,21,20
"ENSMUSG00000024330",72,70,68,81,69,55
"ENSMUSG00000024331",2,0,0,0,0,2
"ENSMUSG00000024334",2,1,1,2,1,2
"ENSMUSG00000024335",2066,2126,2010,2270,2184,2015
"ENSMUSG00000024337",0,0,0,0,0,0
"ENSMUSG00000024338",0,0,0,1,0,2
"ENSMUSG00000024339",1,2,1,0,0,0
"ENSMUSG00000024340",0,0,1,0,0,0
"ENSMUSG00000024346",85,84,46,81,77,78
"ENSMUSG00000024347",1359,1466,1237,1546,1210,1419
"ENSMUSG00000024349",1,1,1,0,0,2
"ENSMUSG00000024350",1205,1209,980,1361,1028,1260
"ENSMUSG00000024352",21,45,28,38,19,18
"ENSMUSG00000024353",2,1,3,4,6,8
"ENSMUSG00000024354",59,55,44,75,66,47
"ENSMUSG00000024357",27,41,31,30,32,24
"ENSMUSG00000024359",620,622,632,665,614,642
"ENSMUSG00000024360",817,865,698,919,780,709
"ENSMUSG00000024365",0,0,0,0,0,0
"ENSMUSG00000024366",30,25,24,41,41,28
"ENSMUSG00000024369",79,75,103,114,88,101
"ENSMUSG00000024370",830,830,790,916,864,783
"ENSMUSG00000024371",1,0,2,1,3,6
"ENSMUSG00000024376",722,742,648,939,769,843
"ENSMUSG00000024378",438,417,358,372,368,317
"ENSMUSG00000024379",0,0,2,3,1,0
"ENSMUSG00000024380",0,0,0,0,0,0
"ENSMUSG00000024381",570,642,549,618,510,544
"ENSMUSG00000024382",265,323,299,327,272,291
"ENSMUSG00000024383",1123,1098,1038,1051,1193,1031
"ENSMUSG00000024384",1751,1857,1658,1864,1689,1688
"ENSMUSG00000024386",2,0,0,0,0,2
"ENSMUSG00000024387",368,436,343,459,386,460
"ENSMUSG00000024388",1,0,0,1,2,0
"ENSMUSG00000024391",4,6,3,3,7,10
"ENSMUSG00000024392",1753,1781,1164,2005,1712,1681
"ENSMUSG00000024393",3233,2978,2559,3663,2916,3207
"ENSMUSG00000024395",3,7,9,4,7,5
"ENSMUSG00000024397",6,3,1,1,0,1
"ENSMUSG00000024399",0,0,0,0,0,0
"ENSMUSG00000024400",717,801,643,830,764,722
"ENSMUSG00000024401",1,0,0,0,0,0
"ENSMUSG00000024402",2,1,1,1,0,3
"ENSMUSG00000024403",556,615,544,631,519,638
"ENSMUSG00000024404",983,1121,1096,1152,1113,1013
"ENSMUSG00000024406",0,0,0,0,0,0
"ENSMUSG00000024409",0,0,2,1,0,0
"ENSMUSG00000024410",267,263,251,277,270,298
"ENSMUSG00000024411",0,0,2,1,0,2
"ENSMUSG00000024413",928,876,856,971,815,885
"ENSMUSG00000024414",52,62,42,50,43,46
"ENSMUSG00000024420",1954,1942,2003,1920,1670,1916
"ENSMUSG00000024421",13,19,11,14,6,19
"ENSMUSG00000024422",230,247,223,284,205,270
"ENSMUSG00000024423",524,625,487,478,541,480
"ENSMUSG00000024424",127,145,146,153,138,202
"ENSMUSG00000024425",515,571,386,550,549,512
